# Tiempo [s],Tensión [V],Desplazamiento [mm]
8.143191417570664115e+00,8.018446208012845133e+00,9.932129133264886889e+00
8.173707839100476491e+00,8.018446208012845133e+00,9.953072986427121904e+00
8.204224260630288867e+00,8.018446208012845133e+00,9.946226447751758570e+00
8.234740682160101244e+00,8.018446208012845133e+00,9.918548230635662932e+00
8.265257103689913620e+00,8.018446208012845133e+00,9.890275485909389985e+00
8.295773525219725997e+00,8.018446208012845133e+00,9.806244674087144730e+00
8.326289946749536597e+00,8.018446208012845133e+00,9.722298679136972765e+00
8.356806368279350750e+00,8.018446208012845133e+00,9.638351589656101837e+00
8.387322789809161350e+00,8.018446208012845133e+00,9.526746820769048441e+00
8.417839211338975502e+00,8.018446208012845133e+00,9.414049881319256130e+00
8.448355632868786103e+00,8.018446208012845133e+00,9.302218777134152461e+00
8.478872054398598479e+00,8.018446208012845133e+00,9.162740563536916127e+00
8.509388475928410855e+00,8.018446208012845133e+00,9.021847413956704642e+00
8.539904897458223232e+00,8.018446208012845133e+00,8.910253271259907848e+00
8.570421318988035608e+00,8.018446208012845133e+00,8.770462918432688326e+00
8.600937740517847985e+00,8.018446208012845133e+00,8.657765978982897792e+00
8.631454162047660361e+00,8.018446208012845133e+00,8.546247014027775535e+00
8.661970583577472738e+00,8.018446208012845133e+00,8.434399942459188892e+00
8.692487005107285114e+00,8.018446208012845133e+00,8.322933113614670475e+00
8.723003426637097490e+00,8.018446208012845133e+00,8.238783532539841303e+00
8.753519848166909867e+00,8.018446208012845133e+00,8.155164900210960965e+00
8.784036269696722243e+00,8.018446208012845133e+00,8.127477108823853769e+00
8.814552691226534620e+00,8.018446208012845133e+00,8.043620286210517278e+00
8.845069112756345220e+00,8.018446208012845133e+00,8.015737510377022090e+00
8.875585534286159373e+00,8.018446208012845133e+00,7.990567478305643512e+00
8.906101955815969973e+00,8.018446208012845133e+00,7.990567478305643512e+00
8.936618377345784126e+00,8.018446208012845133e+00,7.992895656155451611e+00
8.967134798875594726e+00,8.018446208012845133e+00,8.020746039989278486e+00
8.997651220405407102e+00,8.018446208012845133e+00,8.048268549657555226e+00
9.028167641935219478e+00,8.018446208012845133e+00,8.076151325491052191e+00
9.058684063465031855e+00,8.018446208012845133e+00,8.104034101324549155e+00
9.089200484994844231e+00,8.018446208012845133e+00,8.187674336572461797e+00
